customer_number;salutation;title;name;last_name;birth_date;street;street_number;postcode;town;phone_number;mobile_number;fax;e_mail;newsletter
1;Herr;;Carlo;Barilovic;09.12.1942;Agrippastr.;120;74177;Bad Friedrichshall;07136/15330021;0166/5405190;07136/56330496;c.barilovic@mail.xyz;1
2;Frau;Dr.;Mariella;Buchner;16.11.1923;Werkstattstr.;171;86926;Greifenberg;08192/54591823;0154/1495072;08192/31070751;m.buchner@mail.xyz;1
3;Herr;;Ruben;Kaplan;08.01.1949;Oberschlesier Str.;181;56479;Rehe;02664/45849887;0156/3422100;02664/94494106;r.kaplan@mail.xyz;1
4;Herr;;Louis;Morton;12.02.1941;Von-der-Tinnen-Str.;85;48488;Emsbären;05903/61251033;0165/4150125;05903/57748169;l.morton@mail.xyz;1
5;Frau;;Larissa;Hilbig;26.01.1924;Mariendorfer Str.;3;29588;Oetzen;05805/87686625;0179/7548020;05805/15693849;l.hilbig@mail.xyz;1
6;Frau;;Leonie;Finkenzeller;16.06.1922;Fresnostr.;143;27318;Hoyerhagen;04251/26093967;0158/2180605;04251/43600156;l.finkenzeller@mail.xyz;1
7;Frau;;Saskia;Curry;03.01.1980;Uhuweg;51;86865;Markt Wald;08262/74435219;0167/9041015;08262/55523663;s.curry@mail.xyz;1
8;Herr;;Mathias;Bishop;05.12.1990;Gildenstr.;73;91096;Mührendorf;09131/98840634;0174/3643929;09131/8180539;mathias.bishop@mail.xyz;1
9;Herr;;Colin;Caspari;16.02.1973;Erikahof;91;66882;Hätschenhausen;06372/59120313;0160/7890723;06372/56968329;colin.caspari@mail.xyz;1
10;Herr;;Michel;Remondis;05.11.1988;Dorbaumstr.;159;29596;Stadensen;05802/92910160;0156/9117659;05802/58582926;michel.remondis@mail.xyz;1
11;Herr;;Torsten;Bennett;16.08.1969;Dauvemühle;74;25785;Odderade;04832/64026409;0163/1310671;04832/82148882;torsten.bennett@mail.xyz;1
12;Frau;;Silke;Wehr;02.01.1981;Rosenplatz;38;47799;Krefeld;02151/9544597;0156/3074744;02151/52177706;silke.wehr@mail.xyz;1
13;Herr;;Timon;Seybold;15.01.1985;Werseblick;158;23619;Mänkhagen;04533/30696831;0162/2361361;04533/29101412;t.seybold@mail.xyz;1
14;Herr;Prof.;Damian;Kallweit;03.09.1972;Wolbecker Str.;31;34130;Kassel;0561/94483917;0167/9869637;0561/57065474;d.kallweit@mail.xyz;1
15;Frau;;Jill;Böhm;07.06.1921;Klinkkampweg;156;86694;Niederschönenfeld;09090/61279755;0153/4049363;09090/15891213;j.boehm@mail.xyz;1
17;Herr;Dr.;Alexander;Hackl;16.05.1962;Marderweg;99;25774;Groven;04882/64071370;0172/6089939;04882/59275100;alexander.hackl@mail.xyz;1
18;Frau;;Barbara;Dammann;07.02.1986;Manfred-von-Richthofen-Str.;2;57586;Weitefeld;02743/64865410;0162/9905683;02743/88385128;barbara.dammann@mail.xyz;1
19;Frau;;Marlis;Dreher;07.09.1964;Wormser Str.;66;99880;Metebach;03622/76020663;0167/7270617;03622/93560602;m.dreher@mail.xyz;1
20;Frau;;Nelli;Lawrence;07.04.1993;An Lyskirchen;79;01640;Coswig;03523/84798184;0150/3958003;03523/10508643;n.lawrence@mail.xyz;1
21;Frau;;Hildegard;Wieczorek;01.03.1924;Methweg;171;37130;Gleichen;0551/52569784;0172/6310371;0551/74743421;hildegard.wieczorek@mail.xyz;1
22;Frau;;Melina;Sievers;07.01.1967;Am Dornbusch;108;54533;Gransdorf;06563/25081403;0179/5671211;06563/75076483;melina.sievers@mail.xyz;1
23;Herr;;Anthony;Haynes;27.08.1964;Stettiner Str.;166;91578;Leutershausen;09823/89027836;0172/7603103;09823/957224;anthony.haynes@mail.xyz;1
24;Frau;;Mina;Peitz;03.12.1972;Grevener Str.;149;67133;Maxdorf;06237/54977187;0168/9172304;06237/2106740;mina.peitz@mail.xyz;1
25;Frau;;Samira;Weis;02.12.1951;Papenbusch;105;96484;Meeder;09566/17964567;0155/6469396;09566/45288491;samira.weis@mail.xyz;1
26;Frau;;Melina;Montgomery;08.05.1961;Oscar-Wilde-Str.;42;99718;Topfstedt;03636/27761244;0166/8254936;03636/73052220;m.montgomery@mail.xyz;1
27;Frau;;Stella;Dietrich;05.10.1925;Wiedehagen;189;91207;Lauf an der Pegnitz;09123/8363447;0162/8023355;09123/22206701;s.dietrich@mail.xyz;1
28;Frau;;Alina;Hinrichs;05.06.1986;Hindenburgplatz;61;24321;Klamp;04381/15083774;0154/3684494;04381/12826735;a.hinrichs@mail.xyz;1
29;Frau;;Anke;Mohr;20.10.1986;Mondstr.;149;97348;Markt Einersheim;09326/32522893;0170/8718960;09326/84506775;anke.mohr@mail.xyz;1
30;Herr;;Sam;Seibel;17.12.1975;Eifelstr.;159;94148;Kirchham;08533/50967938;0177/3826948;08533/8176473;s.seibel@mail.xyz;1
31;Frau;;Isabelle;Nolte;08.12.1958;Gildenstr.;32;99428;Daasdorf am Berge;03643/64624674;0155/9923086;03643/18156838;i.nolte@mail.xyz;1
32;Frau;;Isabell;Chapman;24.09.1978;Sanddornweg;177;65510;Hänstetten;06126/38291397;0158/8951638;06126/65481196;i.chapman@mail.xyz;1
